Symbol,NameAr
^TASI.SR,مؤشر تاسي
1010.SR,بنك الرياض
1020.SR,بنك الجزيرة
1030.SR,البنك السعودي للاستثمار
1050.SR,البنك السعودي الفرنسي
1060.SR,البنك السعودي البريطاني (ساب)
1080.SR,البنك العربي الوطني
1111.SR,مجموعة تداول السعودية
1120.SR,مصرف الراجحي
1140.SR,بنك البلاد
1150.SR,مصرف الإنماء
1180.SR,البنك الأهلي السعودي
1182.SR,أملاك العالمية للتمويل
1183.SR,شركة سهل للتمويل
1201.SR,تكوين 
1202.SR,مبكو 
1210.SR,بي سي آي
1211.SR,معادن
1212.SR,أسترا الصناعية
1213.SR,نسيج 
1214.SR,شاكر
1301.SR,أسلاك 
1302.SR,بوان
1303.SR,صناعات كهربائية
1304.SR,اليمامة للحديد
1320.SR,الأنابيب السعودية
1321.SR,أنابيب الشرق 
1322.SR,أماك
1323.SR,يو سي آي سي
1810.SR,مجموعة سيرا القابضة
1820.SR,بان
1830.SR,ليجام 
1831.SR,مهارة 
1832.SR,صدر
1833.SR,الموارد
1834.SR,سملسكو
1835.SR,تمكين
2001.SR,كيمانول 
2010.SR,سابك 
2020.SR,سابك للمغذيات الزراعية
2030.SR,المصافي 
2040.SR,الخزف السعودي
2050.SR,مجموعة صافولا
2060.SR,التصنيع 
2070.SR,الدوائية
2080.SR,الغاز
2081.SR,الخريف
2082.SR,أكوا باور
2083.SR,مرافق
2084.SR,مياهنا
2090.SR,الجبس الأهلية
2100.SR,وفرة
2110.SR,كابلات السعودية
2120.SR,المتطورة
2130.SR,صدق
2140.SR,أيان 
2150.SR,زجاج
2160.SR,أميانتيت
2170.SR,اللجين
2180.SR,فيبكو 
2190.SR,سيسكو 
2200.SR,العربية للأنابيب
2210.SR,نماء للكيماويات
2220.SR,معدنية 
2222.SR,أرامكو السعودية
2223.SR,لوبريف 
2230.SR,الكيميائية 
2240.SR,الزامل للصناعة
2250.SR,المجموعة السعودية 
2270.SR,سدافكو
2280.SR,المراعي
2281.SR,تنمية 
2282.SR,نقي 
2283.SR,المطاحن الأولى
2284.SR,المطاحن الحديثة
2285.SR,المطاحن العربية
2286.SR,المطاحن الرابعة
2287.SR,إنتاج
2290.SR,ينساب
2300.SR,صناعة الورق
2310.SR,سبكيم العالمية
2320.SR,البابطين 
2330.SR,المتقدمة 
2340.SR,العبداللطيف 
2350.SR,كيان
2360.SR,الفخارية 
2370.SR,مسك 
2380.SR,بترو رابغ
2381.SR,الحفر العربية
2382.SR,أديس القابضة
3002.SR,أسمنت نجران
3003.SR,أسمنت المدينة
3004.SR,أسمنت الشمالية
3005.SR,أسمنت أم القرى
3007.SR,شركة الواحة
3008.SR,الكثيري القابضة
3010.SR,الأسمنت العربية
3020.SR,أسمنت اليمامة
